Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Jan-07,Fremantle,2,0,1,0,1,39,25,14,2,1,1,52,17,35,97,29,62,6,9,9,0,30,28,2,9,0,9,31,3,28,271,488,313,175,94,980,0,0,0,0,5,975,485,22,463,10,1,9,0,2057,2328,128,3,65,51,9,0,9,8,1,15,152,87,66,4,0,62,22,15,4,3,175
Feb-07,Fremantle,1,0,0,0,1,16,11,5,15,15,0,58,22,36,91,28,54,9,8,6,2,19,15,4,2,0,2,15,2,13,225,372,250,122,95,782,0,0,0,0,2,780,402,22,380,9,3,6,0,1660,1885,108,6,61,33,7,1,13,11,2,20,141,68,61,5,0,56,47,38,8,1,176
Mar-07,Fremantle,1,1,0,0,0,23,17,6,10,10,0,60,12,48,111,50,56,5,8,5,3,26,20,6,1,1,0,42,5,37,282,424,272,152,80,874,0,0,0,0,6,868,437,32,405,12,0,12,0,1827,2109,117,8,63,38,8,0,13,6,7,25,155,281,83,6,0,77,35,26,5,4,399
Apr-07,Fremantle,0,0,0,0,0,12,7,5,3,3,0,50,13,37,79,25,45,9,7,7,0,14,9,5,2,0,2,17,1,16,184,414,265,149,74,774,0,0,0,0,4,770,345,23,322,7,0,7,0,1614,1798,121,4,71,41,5,0,16,14,2,11,148,80,77,1,0,76,31,26,3,2,188
May-07,Fremantle,0,0,0,0,0,22,17,5,9,8,1,49,16,33,92,35,53,4,4,3,1,22,15,7,4,1,3,14,3,11,216,380,264,116,80,828,0,0,0,0,6,822,396,23,373,10,2,8,0,1694,1910,176,18,94,57,7,0,15,12,3,20,211,37,76,0,0,76,82,75,4,3,195
Jun-07,Fremantle,0,0,0,0,0,13,6,7,37,36,1,43,17,26,67,18,42,7,7,7,0,11,6,5,1,0,1,7,1,6,186,326,214,112,55,737,0,0,0,0,5,732,371,34,337,8,0,8,0,1497,1683,230,46,111,61,12,0,18,6,12,27,275,42,62,3,0,59,43,33,6,4,147
Jul-07,Fremantle,0,0,0,0,0,16,12,4,5,5,0,55,17,38,87,23,59,5,2,2,0,16,12,4,0,0,0,24,9,15,205,365,230,135,65,657,0,0,0,0,3,654,342,35,307,6,0,6,0,1435,1640,110,6,69,27,8,0,11,8,3,8,129,41,51,1,0,50,25,17,6,2,117
Aug-07,Fremantle,1,0,0,0,1,12,5,7,4,4,0,36,8,28,89,32,44,13,7,5,2,15,8,7,2,0,2,12,4,8,178,432,262,170,70,701,0,0,0,0,5,696,385,31,354,17,0,17,0,1605,1783,149,5,101,39,4,0,8,8,0,8,165,50,53,4,0,49,64,35,25,4,167
Sep-07,Fremantle,0,0,0,0,0,10,5,5,5,4,1,51,8,43,90,36,47,7,8,6,2,30,19,11,2,1,1,17,3,14,213,366,241,125,66,745,0,0,0,0,2,743,354,36,318,11,1,10,0,1542,1755,118,4,77,36,1,0,17,13,4,21,156,221,33,2,0,31,53,38,5,10,307
Oct-07,Fremantle,0,0,0,0,0,17,5,12,21,19,2,49,11,38,96,36,53,7,7,6,1,18,11,7,0,0,0,15,4,11,223,364,251,113,88,811,0,0,0,0,4,807,395,29,366,11,0,11,0,1669,1892,104,13,59,29,2,1,15,9,6,5,124,46,64,1,0,63,33,25,6,2,143
Nov-07,Fremantle,0,0,0,0,0,18,13,5,15,14,1,61,15,46,121,49,59,13,15,12,3,23,18,5,0,0,0,10,0,10,263,335,251,84,62,738,0,0,0,0,3,735,398,41,357,8,2,6,0,1541,1804,142,10,80,46,6,0,17,9,8,22,181,47,104,0,0,104,53,43,5,5,204
Dec-07,Fremantle,0,0,0,0,0,26,15,11,2,1,1,63,17,46,97,36,51,10,8,5,3,20,13,7,2,0,2,18,2,16,236,342,220,122,63,690,0,0,0,0,3,687,374,30,344,6,0,6,0,1475,1711,117,27,51,30,9,0,6,5,1,16,139,36,75,0,0,75,22,5,14,3,133
Jan-08,Fremantle,3,0,0,0,3,12,11,1,2,2,0,55,11,44,117,57,48,12,6,5,1,17,12,5,4,1,3,11,2,9,227,417,295,122,80,840,0,0,0,0,5,835,438,41,397,6,0,6,0,1781,2008,100,8,51,32,9,0,24,19,5,14,138,58,169,0,0,169,37,27,8,2,264
Feb-08,Fremantle,1,0,0,0,1,19,10,9,2,2,0,42,13,29,110,44,64,2,9,9,0,33,22,11,3,0,3,11,3,8,230,434,317,117,122,731,0,0,0,0,3,728,392,30,362,9,0,9,0,1688,1918,115,6,57,46,6,0,18,13,5,22,155,45,58,2,0,56,61,47,11,3,164
Mar-08,Fremantle,1,1,0,0,0,18,2,16,3,2,1,46,7,39,101,38,55,8,11,6,5,22,18,4,3,2,1,13,1,12,218,467,341,126,117,774,0,0,0,0,6,768,392,36,356,21,5,16,0,1771,1989,132,8,82,36,6,0,25,15,10,14,171,34,54,1,0,53,40,26,11,3,128
Apr-08,Fremantle,1,0,0,1,0,8,3,5,3,3,0,28,9,19,83,20,60,3,6,5,1,18,13,5,1,0,1,4,2,2,152,399,250,149,88,793,0,0,0,0,7,786,346,33,313,5,0,5,0,1631,1783,89,2,57,27,3,0,19,10,9,16,124,54,116,0,0,116,47,37,4,6,217
May-08,Fremantle,0,0,0,0,0,5,5,0,5,5,0,49,10,39,97,42,46,9,3,2,1,17,11,6,3,0,3,18,0,18,197,468,330,138,91,839,0,0,0,0,9,830,367,40,327,3,0,3,0,1768,1965,156,6,96,51,3,0,17,15,2,27,200,123,164,0,0,164,35,21,10,4,322
Jun-08,Fremantle,1,0,0,0,1,5,5,0,0,0,0,38,9,29,78,32,32,14,10,5,5,14,7,7,3,0,3,17,5,12,166,461,342,119,75,761,0,0,0,0,7,754,386,31,355,11,0,11,0,1694,1860,139,7,96,35,1,0,25,18,7,18,182,53,36,2,0,34,119,101,13,5,208
Jul-08,Fremantle,2,1,0,0,1,21,12,9,15,15,0,45,10,35,73,23,47,3,6,5,1,13,6,7,4,0,4,12,1,11,191,362,272,90,80,663,0,0,0,0,5,658,312,30,282,8,0,8,0,1425,1616,107,13,62,30,1,1,16,12,4,9,132,43,30,1,0,29,38,24,9,5,111
Aug-08,Fremantle,1,0,0,1,0,6,5,1,15,11,4,40,10,30,84,29,51,4,7,5,2,31,22,9,2,0,2,14,0,14,200,372,265,107,69,664,0,0,0,0,3,661,302,30,272,4,1,3,0,1411,1611,132,7,70,48,6,1,18,10,8,11,161,52,51,3,0,48,88,72,10,6,191
Sep-08,Fremantle,0,0,0,0,0,12,10,2,26,26,0,35,8,27,97,37,56,4,9,8,1,19,14,5,2,0,2,23,3,20,223,299,199,100,68,660,0,0,0,0,2,658,332,36,296,6,0,6,0,1365,1588,107,10,56,37,4,0,16,9,7,9,132,89,28,1,0,27,43,34,4,5,160
Oct-08,Fremantle,1,1,0,0,0,22,7,15,3,3,0,46,13,33,117,44,70,3,7,6,1,13,8,5,2,0,2,12,2,10,223,393,249,144,83,813,0,0,0,0,5,808,394,35,359,4,2,2,0,1687,1910,85,5,52,26,2,0,15,10,5,3,103,56,33,1,0,32,37,20,11,6,126
